Freq [Hz]       dBSPL           Phase [Deg]
10.00           95.24           -37.18
10.31           95.23           -37.79
10.62           95.22           -38.41
10.95           95.20           -39.05
11.28           95.19           -39.86
11.63           95.16           -41.16
11.98           95.14           -42.50
12.35           95.11           -43.89
12.73           95.08           -45.33
13.11           95.04           -46.83
13.52           95.01           -48.38
13.93           94.97           -49.99
14.35           94.93           -51.65
14.79           94.88           -53.39
15.25           94.83           -55.18
15.71           94.78           -57.05
16.19           94.72           -58.99
16.69           94.66           -61.01
17.20           94.59           -63.11
17.72           94.51           -65.30
18.27           94.43           -67.58
18.82           94.34           -69.95
19.40           94.24           -72.42
19.99           94.13           -75.00
20.61           94.02           -77.69
21.24           93.89           -80.50
21.88           93.75           -83.44
22.55           93.59           -86.51
23.24           93.42           -89.73
23.95           93.24           -93.11
24.69           93.04           -96.66
25.44           92.81           -100.39
26.22           92.57           -104.33
27.02           92.29           -108.48
27.85           91.99           -112.88
28.70           91.66           -117.56
29.58           91.29           -122.55
30.48           90.89           -127.90
31.41           90.44           -133.68
32.37           89.93           -139.96
33.37           89.38           -146.87
34.39           88.76           -154.55
35.44           88.09           -163.22
36.52           87.35           -173.17
37.64           86.58           -184.74
38.79           85.80           -198.17
39.97           85.08           -213.47
41.20           84.55           -230.39
42.46           84.37           -248.50
43.76           84.65           -267.25
45.09           85.39           -286.10
46.47           86.44           -304.52
47.89           87.65           -322.00
49.36           88.92           -338.20
50.87           90.19           -353.10
52.42           91.41           -366.86
54.03           92.58           -379.77
55.68           93.71           -392.15
57.38           94.79           -404.23
59.14           95.84           -416.17
60.94           96.85           -428.06
62.81           97.84           -439.99
64.73           98.80           -451.98
66.71           99.75           -464.06
68.75           100.67          -476.25
70.85           101.59          -488.52
73.02           102.48          -500.89
75.25           103.35          -513.33
77.55           104.20          -525.83
79.92           105.03          -538.38
82.37           105.81          -550.96
84.89           106.56          -563.57
87.48           107.27          -576.18
90.16           107.92          -588.78
92.92           108.51          -601.37
95.76           109.04          -613.91
98.69           109.49          -626.40
101.70          109.87          -638.78
104.81          110.15          -651.02
108.02          110.35          -663.03
111.32          110.44          -674.72
114.73          110.44          -685.94
118.24          110.33          -696.50
121.85          110.12          -706.17
125.58          109.85          -714.71
129.42          109.54          -721.99
133.38          109.26          -728.04
137.45          109.07          -733.14
141.66          109.04          -737.66
145.99          109.19          -742.01
150.45          109.49          -746.60
155.06          109.87          -751.78
159.80          110.25          -757.79
164.68          110.55          -764.66
169.72          110.76          -772.15
174.91          110.86          -779.85
180.26          110.85          -787.34
185.77          110.77          -794.37
191.45          110.64          -800.92
197.31          110.47          -807.06
203.34          110.27          -812.84
209.56          110.06          -818.24
215.97          109.85          -823.17
222.57          109.65          -827.62
229.38          109.50          -831.76
236.40          109.39          -835.88
243.63          109.28          -840.10
251.08          109.16          -844.33
258.75          109.03          -848.38
266.67          108.93          -852.24
274.82          108.88          -856.26
283.23          108.81          -860.78
291.89          108.65          -865.63
300.81          108.36          -870.15
310.01          107.99          -873.78
319.49          107.63          -876.56
329.26          107.31          -878.81
339.33          106.99          -880.49
349.71          106.70          -881.51
360.41          106.53          -882.08
371.43          106.50          -882.52
382.79          106.61          -883.10
394.49          106.82          -884.19
406.56          107.04          -885.86
418.99          107.25          -887.80
431.80          107.47          -890.05
445.01          107.68          -892.67
458.62          107.86          -895.08
472.64          108.13          -897.35
487.10          108.43          -900.05
501.99          108.71          -902.68
517.34          109.08          -905.25
533.16          109.53          -908.53
549.47          109.98          -912.43
566.27          110.42          -916.97
583.59          110.84          -922.10
601.44          111.30          -928.23
619.83          111.53          -936.29
638.79          111.36          -943.52
658.32          111.26          -947.05
678.45          111.46          -951.23
699.20          111.69          -956.85
720.58          111.76          -963.46
742.62          111.56          -969.87
765.33          111.23          -973.91
788.73          111.29          -975.78
812.86          111.73          -980.66
837.71          112.08          -988.45
863.33          112.20          -996.30
889.73          112.23          -1004.02
916.94          112.18          -1011.67
944.98          112.13          -1019.42
973.88          112.05          -1027.72
1003.67         111.87          -1036.72
